DESTINATION,HUB,COUNTRY
ALI AL SALEM,ALI AL SALEM,KUWAIT
ARIFJAN,ALI AL SALEM,KUWAIT
BUEHRING,ALI AL SALEM,KUWAIT
KCIA,ALI AL SALEM,KUWAIT
K-CROSSING,ALI AL SALEM,KUWAIT
KUWAIT 35TH BDE,ALI AL SALEM,KUWAIT
KUWAIT NAVAL BASE,ALI AL SALEM,KUWAIT
NEW YORK,ALI AL SALEM,KUWAIT
SHUAYBAH,ALI AL SALEM,KUWAIT
VICTORY,ALI AL SALEM,KUWAIT
VIRGINIA,ALI AL SALEM,KUWAIT
ACS,KABUL,AFGHANISTAN
AHMAD KHAN,KABUL,AFGHANISTAN
AIRBORNE,KABUL,AFGHANISTAN
ALAMO,KABUL,AFGHANISTAN
ALTIMUR,KABUL,AFGHANISTAN
AMIR AGHA,KANDAHAR,AFGHANISTAN
ANDAR,KANDAHAR,AFGHANISTAN
APACHE,KANDAHAR,AFGHANISTAN
AZIZ ULLAH,KANDAHAR,AFGHANISTAN
BAG-E-PUL,KANDAHAR,AFGHANISTAN
BAGRAM,BAGRAM,AFGHANISTAN
BAK DC,KABUL,AFGHANISTAN
BALA BALUK,KANDAHAR,AFGHANISTAN
BALA MAGHARB,BAGRAM,AFGHANISTAN
BANDE SARDEH,KABUL,AFGHANISTAN
BARAKI BARAK DC,KABUL,AFGHANISTAN
BASTION,BASTION,AFGHANISTAN
BLACKHORSE,BAGRAM,AFGHANISTAN
BOSTICK,KABUL,AFGHANISTAN
BOWRI TANA,KABUL,AFGHANISTAN
BROWN,KANDAHAR,AFGHANISTAN
BULLARD,KANDAHAR,AFGHANISTAN
CALERO,BASTION,AFGHANISTAN
CARWILE,KABUL,AFGHANISTAN
CHARKH DC,KABUL,AFGHANISTAN
CLARK,KABUL,AFGHANISTAN
COUTO,KABUL,AFGHANISTAN
DAN PATAN,KABUL,AFGHANISTAN
DEH DADI,BAGRAM,AFGHANISTAN
DEH YAK,KANDAHAR,AFGHANISTAN
DEHLI,KANDAHAR,AFGHANISTAN
DELARAM,KANDAHAR,AFGHANISTAN
DOSH TOWP,KABUL,AFGHANISTAN
DWYER,KANDAHAR,AFGHANISTAN
EDI,KANDAHAR,AFGHANISTAN
EGGERS,KABUL,AFGHANISTAN
FARAH,KANDAHAR,AFGHANISTAN
FIDDLERS GREEN,KANDAHAR,AFGHANISTAN
FORTRESS,BAGRAM,AFGHANISTAN
FOUR CORNERS,KABUL,AFGHANISTAN
FRONTENAC,KANDAHAR,AFGHANISTAN
GAMBERI,BAGRAM,AFGHANISTAN
GARDEZ,BAGRAM,AFGHANISTAN
GERONIMO,KANDAHAR,AFGHANISTAN
GHAZNI,BAGRAM,AFGHANISTAN
GHOR,BAGRAM,AFGHANISTAN
GORGAK,KANDAHAR,AFGHANISTAN
GORMACH,BAGRAM,AFGHANISTAN
GOSHTA,KABUL,AFGHANISTAN
GREEN,BAGRAM,AFGHANISTAN
HADRIAN,KANDAHAR,AFGHANISTAN
HANSEN,KANDAHAR,AFGHANISTAN
HERAT,KANDAHAR,AFGHANISTAN
HERRERA,KABUL,AFGHANISTAN
HEYRATAN,BAGRAM,AFGHANISTAN
HONAKER-MIRACLE,BAGRAM,AFGHANISTAN
HOWZ E MADAD,KANDAHAR,AFGHANISTAN
HUGHIE,BAGRAM,AFGHANISTAN
HUTAL,KANDAHAR,AFGHANISTAN
INTERNATIONAL SECURITY ASSISTANCE FORCE,KABUL,AFGHANISTAN
JACKSON,KANDAHAR,AFGHANISTAN
JAGHATO,KABUL,AFGHANISTAN
JAKER,KANDAHAR,AFGHANISTAN
JALALABAD,BAGRAM,AFGHANISTAN
JELAWUR,KANDAHAR,AFGHANISTAN
JOYCE,BAGRAM,AFGHANISTAN
JULIEN,KABUL,AFGHANISTAN
KABUL,KABUL,AFGHANISTAN
LINDSEY,KANDAHAR,AFGHANISTAN
KANDAHAR,KANDAHAR,AFGHANISTAN
KANDALAY,KANDAHAR,AFGHANISTAN
KESSLER,BAGRAM,AFGHANISTAN
